Group/Investment,Ticker,Inception Date,Morningstar Category,Index,Analysis Date,Analyst Rating,People Rating,Process Rating,Parent Rating,Performance Rating,Price Rating,Star Rating,Prospectus Adjusted Operating Expense Ratio,Morningstar Fee Level Rank - Distribution,Fund Size,Fund Size Rank,Est Fund-Level Net Flow 1 Yr,Est Fund-Level Net Flow 1 Yr Rank,Est Fund-Level Net Flow 3 Yr,Est Fund-Level Net Flow 3 Yr Rank,Est Fund-Level Net Flow 5 Yr,Est Fund-Level Net Flow 5 Yr Rank,Flows % 1 Yr,Flows % 1 Yr Rank,Manager Tenure - Longest,Manager Tenure - Longest Rank,Manager Tenure - Average,Manager Tenure - Average Rank,Manager Ownership Level,12 Mo Yield,12 Mo Yield Rank,Eff Duration,Eff Duration Rank,Credit Qual AAA %,Credit Qual AAA Rank,Credit Qual AA %,Credit Qual AA Rank,Credit Qual A % ,Credit Qual A Rank,Credit Qual BBB %,Credit Qual BBB Rank,Credit Qual BB %,Credit Qual BB Rank,Credit Qual B %,Credit Qual B Rank,Credit Qual CCC %,Credit Qual CCC Rank,Credit Qual NR %,Credit Qual NR Rank,% Asset in Top 10,% Asset in Top 10 Rank,# of Holdings ,# of Holdings Rank,Government %,Government Rank,Government Related % ,Government Related Rank,Corporate Bond %,Corporate Bond Rank,Agency MBS %,Agency MBS Rank,Nonagency RMBS %,Nonagency RMBS Rank,CMBS % ,CMBS Rank,ABS %,ABS Rank,Cash & Equivalents % ,Cash & Equivalents Rank,3 Yr Return,3 Yr Return Rank,3 Yr Std Dev,3 Yr Std Dev Rank,3 Yr Sharpe Ratio,3 Yr Sharpe Ratio Rank,3 Yr Alpha,3 Yr Alpha Rank,3 Yr Beta,3 Yr Beta Rank,3 Yr R2,3 Yr R2 Rank,3 Yr Max Drawdown,3 Yr Max Drawdown Rank,5 Yr Return,5 Yr Return Rank,5 Yr Std Dev,5 Yr Std Dev Rank,5 Yr Sharpe Ratio,5 Yr Sharpe Ratio Rank,5 Yr Alpha,5 Yr Alpha Rank,5 Yr Beta,5 Yr Beta Rank,5 Yr R2,5 Yr R2 Rank,5 Yr Max Drawdown,5 Yr Max Drawdown Rank,10 Yr Return,10 Yr Return Rank,10 Yr Std Dev,10 Yr Std Dev Rank,10 Yr Sharpe Ratio,10 Yr Sharpe Ratio Rank,10 Yr Alpha,10 Yr Alpha Rank,10 Yr Beta,10 Yr Beta Rank,10 Yr R2,10 Yr R2 Rank,10 Yr Max Drawdown,10 Yr Max Drawdown Rank,15 Yr Return,15 Yr Return Rank,15 Yr Std Dev,15 Yr Std Dev Rank,15 Yr Sharpe Ratio,15 Yr Sharpe Ratio Rank,15 Yr Alpha,15 Yr Alpha Rank,15 Yr Beta,15 Yr Beta Rank,15 Yr R2,15 Yr R2 Rank,15 Yr Max Drawdown,15 Yr Max Drawdown Rank,IR Shock Oct 2010 - Jan 2011,IR Shock Oct 2010 - Jan 2011 Rank,Eurozone Crisis June - Sep 2011,Eurozone Crisis June - Sep 2011 Rank,Taper Tantrum May - Aug 2013,Taper Tantrum May - Aug 2013 Rank,EM LC Sell-Off Sep - Dec 2014,EM LC Sell-Off Sep - Dec 2014 Rank,HY Sell-Off June 2015 - Feb 2016,HY Sell-Off June 2015 - Feb 2016 Rank,IR Shock Aug - Dec 2016,IR Shock Aug - Dec 2016 Rank,IR Shock 2018 Jan - Oct 2018,IR Shock 2018 Jan - Oct 2018 Rank,EM LC Sell-Off April - Oct 2019,EM LC Sell-Off April - Oct 2019 Rank,HY Equity Sell-Off Oct - Dec 2018,HY Equity Sell-Off Oct - Dec 2018 Rank,2008 Return,2008 Return Rank,2009 Return,2009 Return Rank
Zeo Sustainable Credit I,ZSRIX,5/31/19,US Fund Multisector Bond,No,,,,,,,,,1.25,93,"3,890,340.00",100,,,,,,,,,0.17,99,0.17,99,Venkatesh Reddy [$0 - None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290 Diversified Bond I,TNUIX,7/6/15,US Fund Nontraditional Bond,No,,,,,,,,4.00,0.50,5,"66,706,005.00",65,"31,555,302.71",27,"-6,744,212.89",72,,,93.79,11,4.00,66,2.25,80,Gerhardt (Gary) P. Herbert [$0 - None];Kenneth T. Kozlowski [$0 - None];Alwi Chan [$0 - None];Anujeet S. Sareen [$0 - None];Tracy Chen [$0 - None];,3.80,44,4.74,11,47.07,14,1.25,69,13.51,20,16.77,45,9.02,73,2.46,86,3.43,52,6.49,35,55.93,20,65,70,45.47,15,20.26,5,16.14,70,6.82,41,2.51,41,0.00,69,5.66,44,2.53,78,5.66,18,2.94,46,1.41,27,3.48,28,0.70,2,50.88,9,-1.97,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,57,-1.39,84,-1.33,87,2.25,3,,,,
AB Unconstrained Bond Z,AGSZX,11/4/14,US Fund Nontraditional Bond,No,,,,,,,,1.00,0.65,17,"201,582,904.00",47,"-103,534,740.55",80,"-111,064,550.91",83,"-167,529,272.31",72,-33.89,89,23.50,2,7.68,11,"Douglas J. Peebles [$1,000,001 and above];Scott A. DiMaggio [$0 - None];Gershon M. Distenfeld [$0 - None];John Taylor [$0 - None];Dimitri Silva [$0 - None];",2.68,82,,,47.34,13,4.67,44,6.58,51,10.48,65,15.27,51,10.03,53,3.73,48,1.90,60,214.19,3,731,21,44.47,16,272.19,1,38.29,39,7.78,38,3.18,35,0.73,51,1.16,57,-15.13,95,1.02,94,3.52,30,-0.11,95,-0.10,94,-0.33,88,7.35,40,-4.35,74,0.95,84,3.17,43,0.02,84,0.08,88,0.00,62,-4.35,40,0.00,100,3.44,70,3.29,53,0.88,76,1.92,82,0.30,35,6.84,41,-4.35,24,3.20,83,4.38,67,0.43,50,0.95,83,0.33,34,-18.30,67,5.59,34,1.44,55,-0.40,1,-3.23,65,0.20,22,-3.00,43,1.41,66,-0.01,62,0.17,65,-2.10,61,-16.52,82,19.20,50
ACM Tactical Income I,TINIX,12/31/18,US Fund Nontraditional Bond,No,,,,,,,,,1.88,91,"12,361,930.00",88,,,,,,,,,0.58,92,0.58,92,Jordan Kahn [$0 - None],,,7.37,2,18.05,51,6.28,30,11.35,31,23.76,21,16.33,45,14.60,35,3.47,51,6.17,38,97.26,9,12,90,15.84,34,1.72,15,28.29,48,0.24,69,0.09,58,0.09,65,0.23,69,0.70,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anfield Universal Fixed Income I,AFLIX,6/28/13,US Fund Nontraditional Bond,No,,,,,,,,3.00,1.22,70,"329,478,167.00",40,"115,715,174.31",16,"208,399,358.11",29,"277,866,741.33",26,59.96,15,6.08,36,5.31,31,David Young [$0 - None];Cyrille Conseil [$0 - None];Peter Van de Zilver [$0 - None];,2.90,79,,,-6.59,100,4.30,47,19.48,3,33.17,5,18.68,35,10.09,52,7.49,33,13.39,17,20.07,46,418,33,0.32,69,0.05,38,50.57,24,13.22,26,0.59,51,0.48,56,19.97,29,6.79,60,2.74,74,1.75,76,0.70,66,1.53,72,-0.31,86,25.68,21,-1.66,32,2.32,60,1.68,89,0.82,35,1.71,43,-0.16,74,-1.66,11,7.11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.08,61,-0.48,15,2.00,54,3.41,11,2.71,11,-1.18,46,,,,
Arrow Dynamic Income Instl,ASFNX,3/21/12,US Fund Nontraditional Bond,No,,,,,,,,2.00,1.55,84,"19,750,144.00",85,"-10,909,700.63",55,"-143,056,536.34",85,"-14,117,772.36",67,-35.08,90,11.75,6,7.25,14,"William E. Flaig [$1 - $10,000];Jonathan S. Guyer [$1 - $10,000];Joseph Barrato [$10,001 - $50,000];",2.46,88,4.09,16,-0.01,98,0.00,86,0.00,90,0.87,97,58.08,1,30.40,19,9.75,24,0.92,69,81.90,17,13,89,0.00,73,0.14,34,74.84,19,0.00,74,0.00,67,0.00,69,0.00,74,23.39,26,0.96,95,4.03,15,-0.10,94,0.13,92,-0.63,92,21.20,26,-3.78,63,2.72,41,4.32,21,0.42,60,2.52,21,-0.33,86,-3.78,31,4.70,55,0.89,100,4.59,18,0.11,100,1.30,100,-0.24,94,2.33,65,-9.62,88,,,,,,,,,,,,,,,3.66,15,-5.82,88,-3.86,73,1.07,7,3.02,1,4.24,18,2.18,24,3.01,9,-2.57,69,-12.10,55,1.51,100
Ascendant Tactical Yield I,ATYIX,5/8/15,US Fund Nontraditional Bond,No,,,,,,,,4.00,3.20,100,"32,710,506.00",81,"-3,499,309.70",49,"-186,201.58",67,,,-9.63,57,0.00,100,0.00,100,James H. Lee [$0 - None],3.52,56,,,6.68,76,0.00,86,0.00,90,3.81,88,31.40,16,43.84,5,8.70,30,5.58,44,95.46,11,15,87,1.86,62,0.00,40,2.34,85,8.18,35,5.38,20,3.15,34,44.86,4,4.74,70,5.26,27,3.68,27,1.00,43,3.67,26,0.09,52,0.54,89,-5.56,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.71,64,3.01,32,1.74,29,1.25,28,-5.20,95,,,,
BlackRock Allocation Target Shrs Ser P,BATPX,3/20/13,US Fund Nontraditional Bond,No,,,,,,,,1.00,0.17,5,"46,466,542.00",74,"-32,362,751.76",67,"-141,015,873.28",84,"-184,933,513.79",76,-41.13,91,6.33,34,6.33,19,Thomas F. Musmanno [$0 - None],1.01,96,,,,,,,,,,,,,,,,,,,22.28,42,9,93,0.82,68,-7.56,75,17.00,69,2.10,56,0.25,57,4.06,26,9.56,35,73.39,13,1.11,92,4.89,11,-0.05,92,1.12,78,-1.55,96,86.01,1,-9.04,93,-1.95,98,5.12,11,-0.54,98,0.55,79,-1.62,96,-12.76,94,84.93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,1,-2.34,79,-5.61,73,7.43,4,6.11,3,3.66,3,-3.56,83,,,,
BlackRock Emerg Mkts Flex Dyn Bd Instl,BEDIX,2/1/08,US Fund Nontraditional Bond,No,10/9/18,Neutral,Positive,Neutral,Positive,Neutral,Positive,4.00,0.69,24,"114,859,210.00",55,"-29,627,371.10",64,"51,445,515.47",42,"25,895,321.40",57,-22.55,71,6.92,29,6.44,17,"Sergio Trigo Paz [$50,001 - $100,000];Michal Wozniak [$10,001 - $50,000];Laurent Develay [$50,001 - $100,000];",4.47,24,1.78,46,0.40,90,2.64,60,6.25,53,28.93,13,6.22,83,46.51,3,6.91,34,2.14,58,30.41,31,172,55,75.20,5,8.98,6,9.33,79,0.00,74,0.00,67,0.00,69,0.00,74,12.21,35,3.07,67,6.90,2,0.26,82,1.50,73,0.34,16,2.12,74,-12.73,98,4.01,12,6.80,6,0.48,57,2.36,28,0.44,7,-12.73,93,3.54,57,5.61,24,7.52,1,0.70,94,2.45,65,0.83,1,10.21,24,-16.12,100,,,,,,,,,,,,,,,-2.35,100,-1.42,20,-14.71,100,-2.95,86,-0.46,14,5.00,11,-10.66,100,-10.69,100,-1.99,57,,,24.06,44
BlackRock Strategic Income Opps Instl,BSIIX,2/5/08,US Fund Nontraditional Bond,No,2/25/19,Silver,Positive,Positive,Positive,Positive,Positive,4.00,0.62,47,"33,333,875,020.00",1,"-3,501,160,253.05",100,"1,702,303,718.24",8,"13,570,482,784.71",1,-9.48,56,8.92,14,6.31,20,"Rick Rieder [$1,000,001 and above];Bob Miller [$500,001 - $1,000,000];David Rogal [$100,001 - $500,000];",3.25,67,2.94,30,24.96,42,6.34,28,13.46,21,18.92,40,13.83,58,8.35,62,3.66,49,10.47,24,,,"4,161",1,11.80,37,1.04,21,35.35,40,12.84,28,3.15,38,3.42,31,14.18,32,5.65,66,4.06,45,1.76,74,1.41,26,2.42,47,0.14,43,5.56,47,-1.98,39,2.63,48,1.78,82,0.96,24,1.40,55,0.15,43,-2.95,26,5.78,48,5.40,30,2.87,65,1.66,6,3.64,30,0.35,30,11.98,12,-3.02,1,,,,,,,,,,,,,,,1.67,50,-3.02,40,-1.94,38,0.21,21,-2.78,42,1.77,60,-0.37,69,-0.79,79,-0.44,31,,,25.23,38
BNY Mellon Global Dynamic Bond Inc - I,DGDIX,3/25/11,US Fund Nontraditional Bond,No,,,,,,,,3.00,0.50,5,"111,405,925.00",57,"56,270,446.49",24,"80,940,900.88",39,"95,881,508.10",43,103.92,10,8.33,20,6.42,18,Paul Brain [$0 - None];Parmeshwar Chadha [$0 - None];Howard Cunningham [$0 - None];,4.52,23,4.52,13,28.85,38,9.77,13,7.73,48,21.36,33,15.25,52,10.96,51,0.27,80,5.81,40,17.02,55,236,48,48.27,12,-2.55,71,41.04,35,0.54,66,0.00,67,0.00,69,0.50,64,6.13,64,3.62,57,1.81,72,1.20,36,1.75,61,0.43,12,51.42,8,-1.04,17,2.69,43,1.75,86,1.03,19,0.89,64,0.42,11,-2.13,14,52.59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.04,8,-2.40,49,0.25,17,-0.81,21,-0.07,94,0.22,54,0.30,58,0.28,19,,,,
Bramshill Income Performance Instl,BRMSX,4/11/16,US Fund Nontraditional Bond,No,,,,,,,,3.00,1.45,77,"464,344,655.00",36,"238,623,299.10",10,"415,741,257.89",22,,,108.18,9,3.25,77,2.67,77,"Art DeGaetano [$0 - None];Derek Pines [$10,001 - $50,000];Michael Hirschfield [$0 - None];",3.47,60,,,,,,,,,,,,,,,,,,,22.76,40,62,72,8.80,43,0.05,37,41.24,34,0.15,70,0.05,59,0.06,67,0.17,70,21.04,29,3.24,65,3.19,40,0.56,71,1.80,60,-0.02,67,0.05,96,-2.24,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,85,2.39,22,2.64,12,-2.24,66,,,,
BrandywineGLOBAL Global Unconst Bond I,LROIX,2/28/11,US Fund Nontraditional Bond,No,,,,,,,,2.00,0.85,48,"1,106,246,310.00",26,"-226,274,512.12",86,"-462,851,075.43",89,"129,433,242.97",40,-16.98,65,8.42,19,6.94,15,David F. Hoffman [$0 - None];Stephen S. Smith [$0 - None];Anujeet S. Sareen [$0 - None];John (Jack) P. McIntyre [$0 - None];,1.33,94,0.87,68,21.42,47,4.75,42,47.07,1,15.54,48,10.82,67,0.39,91,0.00,86,0.01,87,38.98,28,77,67,,,,,,,,,,,,,,,,,2.63,78,6.10,5,0.22,85,1.28,74,0.05,63,0.05,97,-8.75,92,1.64,76,5.64,9,0.15,81,0.13,86,0.36,14,-8.75,77,3.45,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.92,4,-5.41,94,0.67,9,-5.81,76,0.60,88,-4.82,94,-8.02,97,-1.62,53,,,,
Brown Advisory Strategic Bond Instl,BIABX,10/30/14,US Fund Nontraditional Bond,No,,,,,,,,3.00,0.65,11,"205,487,025.00",46,"63,291,289.52",21,"165,441,046.12",33,"157,367,339.13",35,44.28,17,7.83,22,6.29,21,"Thomas D.D. Graff [$100,001 - $500,000];Robert H. Snyder [$100,001 - $500,000];",3.49,59,1.34,53,19.23,49,14.69,6,16.24,12,23.58,23,14.70,53,7.41,66,1.47,67,2.68,56,13.39,60,227,49,0.00,73,0.00,41,29.21,44,4.70,48,3.16,37,7.94,11,48.18,3,3.52,76,3.31,64,1.27,91,1.40,28,1.68,67,0.15,42,11.77,30,-0.76,9,1.89,70,1.93,79,0.52,53,0.63,77,0.17,33,-4.70,47,7.11,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.78,89,-0.15,37,-3.88,53,0.85,80,1.01,41,1.08,32,-0.76,37,,,,
BTS Managed Income I,BTSIX,12/31/18,US Fund Nontraditional Bond,No,,,,,,,,,1.45,77,"1,134,685.00",100,,,,,,,,,1.33,88,1.33,86,Vilis Pasts [$0 - None];Matthew Pasts [$0 - None];Isaac Braley [$0 - None];,,,,,,,,,,,,,,,,,,,,,83.46,16,18,84,17.28,33,3.75,8,47.40,29,5.33,47,0.00,65,0.02,68,0.02,71,5.71,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTS Tactical Fixed Income I,BTFIX,5/27/15,US Fund Nontraditional Bond,No,,,,,,,,1.00,1.52,82,"533,216,137.00",35,"-232,354,262.57",87,"250,763,574.53",26,"504,654,430.24",23,-30.09,84,6.17,35,4.83,34,"Vilis Pasts [$1,000,001 and above];Matthew Pasts [$1,000,001 and above];Isaac Braley [$100,001 - $500,000];",4.28,28,3.71,23,3.99,80,0.11,79,0.72,81,7.51,72,37.00,12,36.85,12,10.63,20,3.19,52,98.74,7,11,92,5.66,49,2.79,11,77.23,15,1.74,59,0.27,56,0.28,62,1.77,53,0.16,87,1.24,91,3.52,32,-0.05,91,-0.25,95,0.09,53,0.58,86,-7.77,90,2.05,62,4.04,26,0.29,70,0.73,72,0.23,24,-7.77,72,2.60,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,26,1.05,6,3.09,29,-1.99,89,0.82,41,-5.16,94,,,,
Calvert Absolute Return Bond I,CUBIX,9/30/14,US Fund Nontraditional Bond,No,,,,,,,,3.00,0.68,23,"131,147,804.00",53,"-17,364,554.75",57,"56,643,341.92",41,,,-11.69,62,4.83,48,4.83,34,"Vishal Khanduja [$10,001 - $50,000];Brian S. Ellis [$100,001 - $500,000];",3.59,51,1.14,61,14.19,63,5.57,35,12.43,26,31.57,7,17.44,38,5.81,70,0.00,86,12.99,19,20.09,45,160,56,4.78,52,0.00,41,24.36,60,6.54,44,3.53,31,4.44,23,34.89,11,5.26,68,4.06,46,1.37,89,1.80,11,2.47,46,0.08,55,2.72,67,-0.84,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73,33,2.17,51,0.97,42,0.77,44,-0.84,39,,,,
Carillon Reams Unconstrained Bond I,SUBFX,9/29/11,US Fund Nontraditional Bond,No,,,,,,,,3.00,0.50,5,"1,143,506,963.00",24,"-271,546,945.82",90,"-257,061,045.48",88,"-1,220,934,422.65",91,-19.20,69,7.83,22,6.22,22,"Thomas M. Fink [$1,000,001 and above];Todd C. Thompson [$1,000,001 and above];Mark M. Egan [$1,000,001 and above];Stephen T. Vincent [$1,000,001 and above];Clark W. Holland [$100,001 - $500,000];Jason Hoyer [$100,001 - $500,000];",2.16,90,-0.20,94,81.17,2,2.68,59,11.05,35,4.89,83,0.00,94,0.00,93,0.21,81,0.00,88,7.95,67,78,66,41.35,17,-45.81,82,24.53,59,23.41,14,0.00,67,9.48,6,4.26,47,41.90,20,2.38,82,1.72,78,0.54,73,0.49,89,0.48,8,72.87,4,-1.79,34,1.91,69,3.02,52,0.34,67,0.64,76,0.19,30,-4.46,43,3.27,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,9,-1.43,68,-1.69,30,0.13,91,-1.66,88,-1.16,86,1.44,6,,,,
Catalyst Enhanced Income Strategy I,EIXIX,12/31/18,US Fund Nontraditional Bond,No,,,,,,,,,1.53,83,"39,994,235.00",77,,,,,,,,,0.58,92,0.58,92,Brandon Jundt [$0 - None];Leland Abrams [$0 - None];,,,,,,,,,,,,,,,,,,,,,34.98,29,110,64,0.00,73,0.00,41,0.00,93,15.29,23,32.48,2,0.00,69,43.25,6,8.99,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst/Stone Beach Income Opp I,IOXIX,11/20/14,US Fund Nontraditional Bond,No,,,,,,,,3.00,1.35,74,"11,527,477.00",90,"2,630,162.12",34,"7,135,543.11",59,,,26.30,19,4.67,54,4.67,41,"David Lysenko [NA - FC Inconsistent];Edward Smith [$10,001 - $50,000];",5.86,4,,,,,,,,,,,,,,,,,,,85.70,15,70,69,0.00,73,0.00,41,0.00,93,61.55,1,3.20,34,44.49,1,0.00,74,-13.76,93,2.88,71,1.52,86,0.95,48,1.25,76,0.16,39,11.07,33,-0.57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.82,34,0.72,82,1.14,38,0.76,45,1.22,10,,,,
CMG Tactical Bond I,CHYOX,10/6/14,US Fund Nontraditional Bond,No,,,,,,,,3.00,1.76,86,"33,541,218.00",80,"25,118,264.89",28,"10,590,456.64",57,,,251.18,3,4.75,53,4.75,39,Stephen Bruce Blumenthal [NA - FC Inconsistent],2.64,84,,,0.51,88,0.00,86,0.00,90,1.13,95,45.31,6,41.39,6,11.58,12,0.07,84,98.15,8,4,97,0.00,73,0.04,39,80.90,13,0.00,74,0.03,60,0.00,69,0.00,73,8.99,49,3.60,58,2.95,45,0.72,64,1.87,59,0.28,20,8.19,37,-2.37,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.29,70,2.00,53,-0.36,68,0.21,63,-0.24,26,,,,
Columbia Mortgage Opportunities Inst,CLMZX,4/30/14,US Fund Nontraditional Bond,No,,,,,,,,5.00,0.75,35,"1,514,654,091.00",20,"945,418,851.65",3,"1,190,313,817.44",11,"1,337,986,759.23",18,175.71,6,5.25,46,3.64,63,"Jason J. Callan [$100,001 - $500,000];Thomas Heuer [$100,001 - $500,000];Ryan Osborn [$100,001 - $500,000];",4.13,33,4.05,18,17.36,55,2.86,58,2.45,77,13.21,51,17.04,42,5.65,73,0.00,86,41.43,1,27.76,33,210,51,0.00,73,-0.41,66,0.67,88,45.11,5,7.95,16,9.54,5,35.16,10,-44.54,96,7.31,3,2.21,64,2.54,4,5.47,9,0.19,32,6.64,43,-0.95,16,5.69,2,2.85,55,1.66,9,4.54,2,0.06,55,-4.06,35,0.39,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,4,-3.70,51,3.11,27,5.65,4,3.10,6,2.02,5,,,,
Columbia Strategic Income Inst,LSIZX,1/29/99,US Fund Nontraditional Bond,No,5/22/19,Neutral,Neutral,Neutral,Neutral,Positive,Positive,5.00,0.70,27,"4,850,763,506.00",5,"306,831,276.37",8,"1,687,888,592.67",9,"2,280,190,457.36",11,6.83,35,9.17,12,6.67,16,"Colin J. Lundgren [$0 - None];Jason J. Callan [$0 - None];Gene R. Tannuzzo [$1,000,001 and above];",3.97,38,3.48,27,10.60,72,7.01,24,5.48,63,22.22,28,15.62,48,19.96,30,2.47,60,16.64,14,-60.13,88,"1,081",10,6.74,46,-59.17,85,43.67,32,10.68,31,4.35,24,3.22,33,21.37,26,55.80,15,5.23,28,2.71,51,1.36,29,3.30,30,0.45,9,24.02,23,-1.72,33,3.93,14,3.44,36,0.88,26,2.36,26,0.31,18,-4.38,41,7.15,36,6.35,12,4.32,30,1.33,18,3.92,18,0.55,12,13.32,6,-4.53,35,5.96,1,4.71,50,0.96,1,2.49,34,0.72,1,-12.16,34,23.03,1,1.23,65,-3.07,44,-4.53,81,-2.11,76,-3.90,54,1.40,68,-1.10,82,-0.79,80,-1.20,47,-6.46,19,19.19,56
Counterpoint Tactical Income I,CPITX,12/4/14,US Fund Nontraditional Bond,No,,,,,,,,4.00,1.96,92,"338,847,055.00",39,"-43,394,006.69",72,"185,258,561.35",32,,,-11.41,61,4.58,56,3.21,65,"Michael Krause [$100,001 - $500,000];Joseph Engelberg [$0 - None];",3.64,49,3.71,21,2.15,87,0.00,86,0.10,86,5.26,79,38.75,9,38.77,10,13.22,3,1.75,63,102.24,5,16,85,7.36,44,1.15,17,76.84,16,0.00,74,0.00,66,0.08,66,0.87,60,-4.14,92,4.93,32,3.64,28,0.93,52,3.04,37,0.44,10,12.65,29,-3.58,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,12,3.82,21,-1.46,87,-0.35,72,-3.11,78,,,,
Crow Point Alternative Income Instl,AIIFX,2/13/19,US Fund Nontraditional Bond,No,,,,,,,,1.00,2.26,96,"10,918,977.00",91,"1,816,888.75",37,"2,010,100.39",64,"-2,943,276.47",64,18.17,24,3.42,76,1.33,86,"Gregory J. Hahn [$0 - None];David R. Cleary [$100,001 - $500,000];Peter J. DeCaprio [$100,001 - $500,000];Adam Coons [$0 - None];",,,,,45.03,16,2.00,63,8.80,45,15.66,47,14.17,56,11.22,49,2.79,58,0.34,77,44.79,24,48,77,3.12,58,-0.17,64,51.46,23,4.02,49,0.33,53,0.43,58,3.87,48,17.98,30,1.34,90,3.84,22,-0.01,90,-0.37,96,0.35,15,7.53,39,-5.87,84,0.33,94,3.85,33,-0.14,93,-0.85,98,0.16,36,-7.22,67,1.57,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.51,51,-0.04,32,-5.39,71,-1.58,98,-3.43,91,-2.16,90,-4.87,91,,,,
DoubleLine Flexible Income I,DFLEX,4/7/14,US Fund Nontraditional Bond,No,,,,,,,,4.00,0.78,40,"1,400,349,321.00",22,"91,511,791.97",20,"1,131,096,033.36",12,"1,374,002,104.66",16,7.04,34,5.25,46,4.04,53,Jeffrey E. Gundlach [$0 - None];Jeffrey J. Sherman [$0 - None];,4.63,19,1.84,42,14.88,62,3.18,53,6.57,52,23.13,26,16.21,47,11.35,48,7.92,31,16.76,13,17.32,54,"1,078",11,10.97,38,1.12,19,22.97,61,0.94,64,11.02,10,9.34,7,31.42,16,4.49,71,4.49,40,1.63,83,1.77,16,2.75,40,0.23,26,16.09,27,-1.25,21,3.46,19,1.96,77,1.29,14,2.13,33,0.19,31,-3.45,30,7.74,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,36,-3.45,47,1.27,74,1.13,39,0.91,38,-1.25,48,,,,
DWS Fixed Income Opportunities Inst,MGSFX,3/13/95,US Fund Nontraditional Bond,No,,,,,,,,2.00,0.79,44,"87,957,031.00",59,"-42,897,217.05",71,"-174,933,137.79",86,"-629,289,666.61",84,-31.23,87,1.92,86,1.08,88,"Rick Smith [$0 - None];Thomas J. Sweeney [$50,001 - $100,000];",3.17,70,1.15,60,32.00,34,9.00,16,13.00,23,24.00,20,7.00,79,10.00,55,0.00,86,5.00,47,43.14,27,112,63,26.03,25,0.00,41,16.10,71,15.76,21,3.41,32,3.55,29,22.61,24,10.21,46,3.35,63,2.34,60,0.79,60,1.74,63,0.14,45,3.03,65,-3.17,58,1.52,81,2.54,64,0.25,74,0.73,74,-0.05,67,-5.07,50,0.39,88,2.50,94,2.39,100,0.83,88,1.82,94,0.05,70,0.42,88,-5.07,47,2.32,100,2.61,100,0.37,100,0.71,100,0.09,67,-10.40,1,1.14,67,0.32,75,-3.27,52,-0.77,22,-2.00,74,-4.09,57,1.43,65,-0.76,74,-0.72,76,-2.63,73,-9.51,37,11.79,81
